Longitude,Latitude,Altitude,Slope,Curve,Speed,EC_DP,Red,IR,Moisture,Soil_Temp_C
-111.7077334,33.0822316,385.9,1.3437,-0.023,1.7,256.81,384.94,1266.85,27.14,19.25
-111.7077484,33.0822333,385.6,1.343,-0.0228,1.81,270.38,383.32,1263.74,27.18,19.24
-111.7077584,33.0822316,385.3,1.343,-0.0227,1.89,277.89,382.25,1261.39,27.21,19.23
-111.7077666,33.0822316,385.3,1.3427,-0.0225,1.98,283.25,381.31,1259.06,27.24,19.21
-111.7077734,33.0822316,385.2,1.3424,-0.0224,2.07,287.07,380.55,1256.96,27.27,19.2
-111.7077734,33.0822333,384.7,1.3421,-0.0225,2.07,287.09,380.54,1256.93,27.27,19.2
-111.707785,33.0822333,384.7,1.3415,-0.0222,2.24,292.45,379.22,1252.78,27.34,19.16
-111.7078,33.082235,384.7,1.3401,-0.0217,2.52,297.58,377.43,1246.24,27.44,19.1
-111.707815,33.082235,384.6,1.339,-0.0212,2.85,301.33,375.54,1238.58,27.56,19.03
-111.7078333,33.082235,384.5,1.3372,-0.0204,3.28,304.64,373.13,1228.92,27.73,18.94
-111.7078534,33.082235,384.5,1.3348,-0.0192,3.71,307.41,370.89,1220.32,27.92,18.87
-111.7078734,33.0822333,384.6,1.3315,-0.0177,4.05,307.5,369.98,1215.54,28.09,18.84
-111.7079184,33.0822333,384.7,1.3206,-0.0133,4.37,299.12,371.15,1211.87,28.32,18.76
-111.70794,33.0822333,384.7,1.3141,-0.0109,4.34,297.11,369.31,1207.97,28.32,18.68
-111.7079617,33.0822333,384.7,1.3066,-0.0081,4.27,301.66,366.12,1201.86,28.27,18.6
-111.7079817,33.0822316,384.7,1.2992,-0.0056,4.19,311.25,363.27,1194.75,28.18,18.55
-111.7080016,33.0822316,384.8,1.2908,-0.0031,4.09,321.82,361.62,1188.6,28.07,18.52
-111.7080217,33.0822316,384.9,1.2818,-0.0008,3.96,328.93,361.82,1185.92,27.94,18.5
-111.7080416,33.0822316,384.9,1.272,0.0014,3.82,330.65,363.79,1188.32,27.82,18.49
-111.7080584,33.0822316,384.8,1.2639,0.003,3.7,329.26,366.15,1193.83,27.73,18.5
-111.7080767,33.0822316,384.7,1.2542,0.0046,3.6,327.25,368.61,1201.56,27.66,18.53
