Longitude,Latitude,Field,Dataset,Product,Obj. Id,Time,Duration(s),Area Count,Elevation(ft),Swth Wdth(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Con(T)(gal(US)/h),Track(deg),Hrv Mass W(lb),Crop Flw(M)(lb/s),Moisture(%),Pass Num,Crop Flw(V)(bu/h),Yld Mass(Wet)(lb/ac),Yld_Mass_Dry_lb_ac,Yld Vol(Wet)(bu/ac),Yld Vol(Dry)(bu/ac),Prod(ac/h),Date
-111.7116624,33.0822676,Azule 1,TaskName 6/10/2024,Wheat (Durum),2544,6/10/2024,1.001,On,1293.5,11.97,14.02,2.309,3.512,8.501,101.77,5.078,3.906,7.18,4,234.34,4051.6,4051.6,67.53,67.53,3.47,6/10/2024
-111.7116519,33.08226886,Azule 1,TaskName 6/10/2024,Wheat (Durum),2545,6/10/2024,0.999,On,1293.5,11.97,14.02,2.209,3.128,9.059,97.8,5.921,5.127,7.28,4,307.65,5959.8,5959.8,99.33,99.33,3.097,6/10/2024
-111.7116402,33.08226934,Azule 1,TaskName 6/10/2024,Wheat (Durum),2546,6/10/2024,1.001,On,1293.4,11.47,14.27,2.3,3.558,9.826,95.34,6.572,5.981,7.3,4,358.85,6390.4,6390.4,106.51,106.51,3.369,6/10/2024
-111.7116294,33.08226964,Azule 1,TaskName 6/10/2024,Wheat (Durum),2547,6/10/2024,0.999,On,1293.7,11.47,14.27,2.175,3.292,9.971,93.76,7.404,6.611,7.3,4,396.64,7618.3,7618.3,126.97,126.97,3.124,6/10/2024
-111.7116146,33.08226928,Azule 1,TaskName 6/10/2024,Wheat (Durum),2548,6/10/2024,1.001,On,1293.6,11.47,14.27,2.824,4.529,12.01,93.09,6.881,7.465,7.3,4,447.93,6266.3,6266.3,104.44,104.44,4.289,6/10/2024
-111.7115991,33.08226923,Azule 1,TaskName 6/10/2024,Wheat (Durum),2549,6/10/2024,1,On,1293.5,11.97,14.02,3.333,4.762,9.692,92.54,7.916,6.832,7.3,4,409.94,5221.9,5221.9,87.03,87.03,4.71,6/10/2024
-111.7115835,33.08226856,Azule 1,TaskName 6/10/2024,Wheat (Durum),2550,6/10/2024,0.999,On,1293.4,11.97,14.02,3.4,4.755,10.95,92.61,8.236,8.06,7.3,4,483.59,6162.4,6162.4,102.71,102.71,4.708,6/10/2024
-111.711567,33.0822691,Azule 1,TaskName 6/10/2024,Wheat (Durum),2551,6/10/2024,1.001,On,1293.4,11.97,14.02,3.323,5.064,11.83,91.13,9.186,8.187,7.219,4,491.19,5889.8,5889.8,98.16,98.16,5.004,6/10/2024
-111.7115492,33.0822695,Azule 1,TaskName 6/10/2024,Wheat (Durum),2552,6/10/2024,0.999,On,1293.4,11.47,14.27,3.694,5.451,10.93,90.06,8.103,9.266,6.959,4,555.98,6449.6,6449.6,107.49,107.49,5.172,6/10/2024
-111.7115317,33.08227035,Azule 1,TaskName 6/10/2024,Wheat (Durum),2553,6/10/2024,0.995,On,1293.4,11.47,14.27,3.597,5.336,11.07,88.97,7.36,7.994,6.74,4,479.64,5661,5661,94.35,94.35,5.084,6/10/2024
