Longitude,Latitude,Slope,EC_DP,Moisture
-91.5000,44.8000,1.0,20.0,18.0
-91.4998,44.8000,1.1,20.5,18.2
-91.4996,44.8000,1.3,21.0,18.5
-91.4994,44.8000,2.8,31.0,25.0
-91.4992,44.8000,3.0,32.0,25.4
-91.5000,44.8002,1.1,19.8,17.9
-91.4998,44.8002,1.2,20.7,18.4
-91.4996,44.8002,1.4,21.3,18.7
-91.4994,44.8002,2.7,30.7,24.8
-91.4992,44.8002,3.1,32.3,25.6
-91.5000,44.8004,1.0,19.6,17.7
-91.4998,44.8004,1.3,21.0,18.5
-91.4996,44.8004,1.5,21.6,18.9
-91.4994,44.8004,2.6,30.3,24.5
-91.4992,44.8004,3.2,32.6,25.8
-91.5000,44.8006,1.2,20.2,18.1
-91.4998,44.8006,1.4,21.2,18.6
-91.4996,44.8006,1.6,22.0,19.1
-91.4994,44.8006,2.5,30.0,24.3
-91.4992,44.8006,3.3,33.0,26.0
-91.5000,44.8008,1.3,20.4,18.3
-91.4998,44.8008,1.5,21.5,18.8
-91.4996,44.8008,1.7,22.2,19.3
-91.4994,44.8008,2.4,29.7,24.0
-91.4992,44.8008,3.4,33.3,26.2
