Longitude,Latitude,Yield
-91.5000,44.8000,142.0
-91.4998,44.8000,144.0
-91.4996,44.8000,146.0
-91.4994,44.8000,181.0
-91.4992,44.8000,184.0
-91.5000,44.8002,141.0
-91.4998,44.8002,145.0
-91.4996,44.8002,148.0
-91.4994,44.8002,179.0
-91.4992,44.8002,186.0
-91.5000,44.8004,140.0
-91.4998,44.8004,147.0
-91.4996,44.8004,150.0
-91.4994,44.8004,177.0
-91.4992,44.8004,188.0
-91.5000,44.8006,143.0
-91.4998,44.8006,149.0
-91.4996,44.8006,152.0
-91.4994,44.8006,175.0
-91.4992,44.8006,190.0
-91.5000,44.8008,145.0
-91.4998,44.8008,151.0
-91.4996,44.8008,154.0
-91.4994,44.8008,173.0
-91.4992,44.8008,192.0
